num_sub = 0
num_col = 0
num_theta = 0
num_phi = 0
data_dir = 
data_dir = /home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/
status_dir = [](0x0)
cmd = grep -n "0 0" /home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/0.ap | cut -f1 -d:
data dir=/home/lendle/dev/projects/1101/jzy3d_test/n2ftools/results_16379336673420/, num_sub = 2, num_col= 1
data dir=, num_sub = 321, num_col= 331
data dir=, num_sub = 351, num_col= 361
data dir=, num_sub = 4072, num_col= 4433
data dir=, num_sub = 4794, num_col= 4804
data dir=, num_sub = 5165, num_col= 5175
data dir=, num_sub = 5526, num_col= 5536
data dir=, num_sub = 5887, num_col= 5897
data dir=, num_sub = 6238, num_col= 6248
data dir=, num_sub = 6268, num_col= 6278
data dir=, num_sub = 6298, num_col= 6589
data dir=, num_sub = 6609, num_col= 6619
data dir=, num_sub = 6639, num_col= 6649
data dir=, num_sub = 6669, num_col= 6950
data dir=, num_sub = 6970, num_col= 6980
data dir=, num_sub = 7000, num_col= 7010
data dir=, num_sub = 7030, num_col= 7221
data dir=, num_sub = 7321, num_col= 7331
data dir=, num_sub = 7351, num_col= 7361
data dir=, num_sub = 7381, num_col= 7391
data dir=, num_sub = 7582, num_col= 7592
data dir=, num_sub = 7672, num_col= 7682
data dir=, num_sub = 7702, num_col= 7712
data dir=, num_sub = 7732, num_col= 7742
data dir=, num_sub = 7762, num_col= 7942
data dir=, num_sub = 7953, num_col= 7963
data dir=, num_sub = 8043, num_col= 8053
data dir=, num_sub = 8073, num_col= 8083
data dir=, num_sub = 8103, num_col= 8113
data dir=, num_sub = 8293, num_col= 8303
data dir=, num_sub = 8314, num_col= 8324
data dir=, num_sub = 8394, num_col= 8404
data dir=, num_sub = 8424, num_col= 8434
data dir=, num_sub = 8454, num_col= 8464
data dir=, num_sub = 8484, num_col= 8654
data dir=, num_sub = 8665, num_col= 8675
data dir=, num_sub = 8695, num_col= 8755
data dir=, num_sub = 8775, num_col= 8785
data dir=, num_sub = 8805, num_col= 8815
data dir=, num_sub = 8835, num_col= 8845
data dir=, num_sub = 9015, num_col= 9025
data dir=, num_sub = 9036, num_col= 9046
data dir=, num_sub = 9116, num_col= 9126
data dir=, num_sub = 9146, num_col= 9156
data dir=, num_sub = 9176, num_col= 9186
data dir=, num_sub = 9206, num_col= 9216
data dir=, num_sub = 9386, num_col= 9387
data dir=, num_sub = 9407, num_col= 9417
data dir=, num_sub = 9477, num_col= 9487
data dir=, num_sub = 9507, num_col= 9517
data dir=, num_sub = 9537, num_col= 9547
data dir=, num_sub = 9567, num_col= 9577
data dir=, num_sub = 9737, num_col= 9747
data dir=, num_sub = 9758, num_col= 9768
data dir=, num_sub = 9788, num_col= 9838
data dir=, num_sub = 9858, num_col= 9868
data dir=, num_sub = 9888, num_col= 9898
data dir=, num_sub = 9918, num_col= 9928
data dir=, num_sub = 10088, num_col= 10098
data dir=, num_sub = 10109, num_col= 10119
data dir=, num_sub = 10139, num_col= 10149
data dir=, num_sub = 10209, num_col= 10219
data dir=, num_sub = 10239, num_col= 10249
data dir=, num_sub = 10269, num_col= 10279
data dir=, num_sub = 10299, num_col= 10449
data dir=, num_sub = 10469, num_col= 10470
data dir=, num_sub = 10490, num_col= 10500
data dir=, num_sub = 10560, num_col= 10570
data dir=, num_sub = 10590, num_col= 10600
data dir=, num_sub = 10620, num_col= 10630
data dir=, num_sub = 10650, num_col= 10660
data dir=, num_sub = 10820, num_col= 10830
data dir=, num_sub = 10841, num_col= 10851
data dir=, num_sub = 10871, num_col= 10921
data dir=, num_sub = 10941, num_col= 10951
data dir=, num_sub = 10971, num_col= 10981
data dir=, num_sub = 11001, num_col= 11011
data dir=, num_sub = 11171, num_col= 11181
data dir=, num_sub = 11192, num_col= 11202
data dir=, num_sub = 11222, num_col= 11232
data dir=, num_sub = 11292, num_col= 11302
data dir=, num_sub = 11322, num_col= 11332
data dir=, num_sub = 11352, num_col= 11362
data dir=, num_sub = 11382, num_col= 11532
data dir=, num_sub = 11552, num_col= 11553
data dir=, num_sub = 11573, num_col= 11583
data dir=, num_sub = 11603, num_col= 11643
data dir=, num_sub = 11663, num_col= 11673
data dir=, num_sub = 11693, num_col= 11703
data dir=, num_sub = 11723, num_col= 11733
data dir=, num_sub = 11903, num_col= 11913
data dir=, num_sub = 11924, num_col= 11934
data dir=, num_sub = 11954, num_col= 11964
data dir=, num_sub = 12014, num_col= 12024
data dir=, num_sub = 12044, num_col= 12054
data dir=, num_sub = 12074, num_col= 12084
data dir=, num_sub = 12104, num_col= 12264
data dir=, num_sub = 12275, num_col= 12285
data dir=, num_sub = 12305, num_col= 12315
data dir=, num_sub = 12365, num_col= 12375
data dir=, num_sub = 12395, num_col= 12405
data dir=, num_sub = 12425, num_col= 12435
data dir=, num_sub = 12455, num_col= 12465
data dir=, num_sub = 12635, num_col= 12636
data dir=, num_sub = 12656, num_col= 12666
data dir=, num_sub = 12686, num_col= 12726
data dir=, num_sub = 12746, num_col= 12756
data dir=, num_sub = 12776, num_col= 12786
data dir=, num_sub = 12806, num_col= 12816
data dir=, num_sub = 12986, num_col= 12996
data dir=, num_sub = 13007, num_col= 13017
data dir=, num_sub = 13037, num_col= 13047
data dir=, num_sub = 13097, num_col= 13107
data dir=, num_sub = 13127, num_col= 13137
data dir=, num_sub = 13157, num_col= 13167
data dir=, num_sub = 13187, num_col= 13357
data dir=, num_sub = 13368, num_col= 13378
data dir=, num_sub = 13398, num_col= 13408
data dir=, num_sub = 13458, num_col= 13468
data dir=, num_sub = 13488, num_col= 13498
data dir=, num_sub = 13518, num_col= 13528
data dir=, num_sub = 13548, num_col= 13718
data dir=, num_sub = 13729, num_col= 13739
data dir=, num_sub = 13759, num_col= 13769
data dir=, num_sub = 13819, num_col= 13829
data dir=, num_sub = 13849, num_col= 13859
data dir=, num_sub = 13879, num_col= 13889
data dir=, num_sub = 13909, num_col= 14079
data dir=, num_sub = 14100, num_col= 14110
data dir=, num_sub = 14130, num_col= 14170
data dir=, num_sub = 14190, num_col= 14200
data dir=, num_sub = 14220, num_col= 14230
data dir=, num_sub = 14250, num_col= 14260
data dir=, num_sub = 14441, num_col= 14451
data dir=, num_sub = 14471, num_col= 14481
data dir=, num_sub = 14531, num_col= 14541
data dir=, num_sub = 14561, num_col= 14571
data dir=, num_sub = 14591, num_col= 14601
data dir=, num_sub = 14621, num_col= 14631
data dir=, num_sub = 14822, num_col= 14832
data dir=, num_sub = 14852, num_col= 14892
data dir=, num_sub = 14912, num_col= 14922
data dir=, num_sub = 14942, num_col= 14952
data dir=, num_sub = 14972, num_col= 14982
data dir=, num_sub = 15183, num_col= 15193
data dir=, num_sub = 15213, num_col= 15253
data dir=, num_sub = 15273, num_col= 15283
data dir=, num_sub = 15303, num_col= 15313
data dir=, num_sub = 15333, num_col= 15343
data dir=, num_sub = 15363, num_col= 15544
data dir=, num_sub = 15564, num_col= 15574
data dir=, num_sub = 15614, num_col= 15624
data dir=, num_sub = 15644, num_col= 15654
data dir=, num_sub = 15674, num_col= 15684
data dir=, num_sub = 15704, num_col= 15714
data dir=, num_sub = 15905, num_col= 15915
data dir=, num_sub = 15935, num_col= 15945
data dir=, num_sub = 15985, num_col= 15995
data dir=, num_sub = 16015, num_col= 16025
data dir=, num_sub = 16045, num_col= 16055
data dir=, num_sub = 16075, num_col= 16085
data dir=, num_sub = 16276, num_col= 16286
data dir=, num_sub = 16306, num_col= 16336
data dir=, num_sub = 16356, num_col= 16366
data dir=, num_sub = 16386, num_col= 16396
data dir=, num_sub = 16436, num_col= 16446
data dir=, num_sub = 16647, num_col= 16657
data dir=, num_sub = 16707, num_col= 16717
data dir=, num_sub = 16737, num_col= 16747
data dir=, num_sub = 16797, num_col= 16807
data dir=, num_sub = 17008, num_col= 17018
data dir=, num_sub = 17068, num_col= 17078
data dir=, num_sub = 17098, num_col= 17108
data dir=, num_sub = 17158, num_col= 17168
data dir=, num_sub = 17369, num_col= 17379
data dir=, num_sub = 17429, num_col= 17439
data dir=, num_sub = 17459, num_col= 17469
data dir=, num_sub = 17529, num_col= 17720
data dir=, num_sub = 17740, num_col= 17750
data dir=, num_sub = 17800, num_col= 17810
data dir=, num_sub = 17830, num_col= 17840
data dir=, num_sub = 18051, num_col= 18081
data dir=, num_sub = 18101, num_col= 18111
data dir=, num_sub = 18161, num_col= 18171
data dir=, num_sub = 18191, num_col= 18251
data dir=, num_sub = 18462, num_col= 18472
data dir=, num_sub = 18522, num_col= 18532
data dir=, num_sub = 18552, num_col= 18612
data dir=, num_sub = 18813, num_col= 18823
data dir=, num_sub = 18873, num_col= 18883
data dir=, num_sub = 18903, num_col= 18913
data dir=, num_sub = 18983, num_col= 19174
data dir=, num_sub = 19194, num_col= 19234
data dir=, num_sub = 19254, num_col= 19264
data dir=, num_sub = 19334, num_col= 19344
data dir=, num_sub = 19545, num_col= 19555
data dir=, num_sub = 19605, num_col= 19615
data dir=, num_sub = 19695, num_col= 19705
data dir=, num_sub = 19906, num_col= 19916
data dir=, num_sub = 19966, num_col= 19976
data dir=, num_sub = 20056, num_col= 20066
data dir=, num_sub = 20267, num_col= 20277
data dir=, num_sub = 20327, num_col= 20337
data dir=, num_sub = 20427, num_col= 20618
data dir=, num_sub = 20638, num_col= 20678
data dir=, num_sub = 20698, num_col= 20788
data dir=, num_sub = 20999, num_col= 21039
data dir=, num_sub = 21059, num_col= 21149
data dir=, num_sub = 21360, num_col= 21400
data dir=, num_sub = 21510, num_col= 21661
data dir=, num_sub = 21721, num_col= 21761
data dir=, num_sub = 21871, num_col= 21881
data dir=, num_sub = 22082, num_col= 22122
data dir=, num_sub = 22232, num_col= 22242
data dir=, num_sub = 22443, num_col= 22483
data dir=, num_sub = 22593, num_col= 22603
data dir=, num_sub = 22804, num_col= 22844
data dir=, num_sub = 22954, num_col= 22964
data dir=, num_sub = 23165, num_col= 23205
data dir=, num_sub = 23315, num_col= 23325
data dir=, num_sub = 23526, num_col= 23566
data dir=, num_sub = 23676, num_col= 23686
data dir=, num_sub = 23887, num_col= 23927
data dir=, num_sub = 24037, num_col= 24047
data dir=, num_sub = 24248, num_col= 24288
data dir=, num_sub = 24398, num_col= 24408
data dir=, num_sub = 24599, num_col= 24609
data dir=, num_sub = 24659, num_col= 24759
data dir=, num_sub = 24819, num_col= 24960
data dir=, num_sub = 25010, num_col= 25020
data dir=, num_sub = 25130, num_col= 25180
data dir=, num_sub = 25321, num_col= 25331
data dir=, num_sub = 25381, num_col= 25481
data dir=, num_sub = 25541, num_col= 25682
data dir=, num_sub = 25732, num_col= 25742
data dir=, num_sub = 25852, num_col= 25902
data dir=, num_sub = 26093, num_col= 26103
data dir=, num_sub = 26213, num_col= 26263
data dir=, num_sub = 26454, num_col= 26464
data dir=, num_sub = 26574, num_col= 26624
data dir=, num_sub = 26815, num_col= 26825
data dir=, num_sub = 26985, num_col= 27136
data dir=, num_sub = 27186, num_col= 27296
data dir=, num_sub = 27497, num_col= 27537
data dir=, num_sub = 27657, num_col= 27707
data dir=, num_sub = 27898, num_col= 27908
data dir=, num_sub = 28068, num_col= 28219
data dir=, num_sub = 28269, num_col= 28379
data dir=, num_sub = 28580, num_col= 28620
data dir=, num_sub = 28740, num_col= 28790
data dir=, num_sub = 28941, num_col= 28981
data dir=, num_sub = 29101, num_col= 29151
data dir=, num_sub = 29302, num_col= 29342
data dir=, num_sub = 29462, num_col= 29502
data dir=, num_sub = 29592, num_col= 29663
data dir=, num_sub = 29713, num_col= 29823
data dir=, num_sub = 29873, num_col= 29953
data dir=, num_sub = 30064, num_col= 30074
data dir=, num_sub = 30224, num_col= 30234
data dir=, num_sub = 30385, num_col= 30425
data dir=, num_sub = 30545, num_col= 30585
data dir=, num_sub = 30675, num_col= 30746
